The operator was: HannesStefanSimon
The sample measure was: Cable
The sample was biased using: 10E-3 Amps
Comments:
0.7T

Tbefore	I+	V+	I-	V-	Tafter	Tbase	time
8.394700E+1	9.998090E-3	3.521440E-5	-1.000210E-2	5.643370E-5	8.403000E+1	8.210300E+1	2.231100E+1
8.404000E+1	9.998070E-3	2.298360E-5	-1.000200E-2	5.853180E-5	8.394000E+1	8.210600E+1	2.335100E+1
8.376700E+1	9.998030E-3	2.346040E-5	-1.000210E-2	5.674360E-5	8.380800E+1	8.210800E+1	2.435100E+1
8.415600E+1	9.997970E-3	2.207760E-5	-1.000200E-2	5.502700E-5	8.419100E+1	8.210800E+1	2.535000E+1
8.381500E+1	9.997880E-3	2.245900E-5	-1.000210E-2	5.497930E-5	8.367800E+1	8.211100E+1	2.636100E+1
8.366700E+1	9.997880E-3	2.157690E-5	-1.000210E-2	5.338190E-5	8.374600E+1	8.210800E+1	2.736100E+1
8.411600E+1	9.997900E-3	1.671310E-5	-1.000210E-2	5.500320E-5	8.416100E+1	8.211100E+1	2.835100E+1
8.396300E+1	9.997890E-3	2.100470E-5	-1.000210E-2	5.404950E-5	8.387200E+1	8.211400E+1	2.935000E+1
8.386400E+1	9.997970E-3	1.699920E-5	-1.000210E-2	5.335810E-5	8.394200E+1	8.211100E+1	3.037500E+1
8.427200E+1	9.997910E-3	2.055170E-5	-1.000200E-2	5.660060E-5	8.427100E+1	8.211300E+1	3.135200E+1
8.378600E+1	9.997920E-3	2.095700E-5	-1.000210E-2	5.352500E-5	8.377900E+1	8.211700E+1	3.235000E+1
8.413700E+1	9.997910E-3	1.909730E-5	-1.000210E-2	5.638600E-5	8.419100E+1	8.211900E+1	3.335100E+1
8.436200E+1	9.997880E-3	2.052780E-5	-1.000210E-2	5.571840E-5	8.429900E+1	8.212000E+1	3.435000E+1
8.393000E+1	9.997860E-3	2.052780E-5	-1.000210E-2	5.595680E-5	8.395200E+1	8.211900E+1	3.535200E+1
8.437900E+1	9.997810E-3	2.524850E-5	-1.000210E-2	5.700590E-5	8.442600E+1	8.212000E+1	3.635100E+1
