The operator was: HannesStefanSimon
The sample measure was: Cable
The sample was biased using: 10E-3 Amps
Comments:
test run to see how the program works

Tbefore	I+	V+	I-	V-	Tafter	Tbase	time
8.342600E+1	9.998220E-3	2.493860E-5	-1.000220E-2	4.463200E-5	8.341300E+1	8.213100E+1	2.479400E+1
8.330200E+1	9.998090E-3	1.251700E-5	-1.000220E-2	4.694460E-5	8.329100E+1	8.212900E+1	2.587500E+1
8.319900E+1	9.997980E-3	1.437660E-5	-1.000220E-2	4.558560E-5	8.318700E+1	8.212600E+1	2.689400E+1
8.309800E+1	9.998100E-3	2.496240E-5	-1.000220E-2	4.615780E-5	8.308500E+1	8.212000E+1	2.788700E+1
8.299300E+1	9.998000E-3	1.587870E-5	-1.000210E-2	4.649160E-5	8.298200E+1	8.211800E+1	2.887400E+1
8.289500E+1	9.998050E-3	1.432900E-5	-1.000220E-2	4.606250E-5	8.288300E+1	8.211400E+1	2.987500E+1
8.280000E+1	9.997980E-3	1.246930E-5	-1.000220E-2	4.358290E-5	8.278800E+1	8.211400E+1	3.087300E+1
8.270400E+1	9.998070E-3	1.509190E-5	-1.000220E-2	4.682540E-5	8.269300E+1	8.211100E+1	3.187400E+1
8.261400E+1	9.998000E-3	1.280310E-5	-1.000220E-2	4.513260E-5	8.260300E+1	8.210400E+1	3.287400E+1
8.252500E+1	9.998130E-3	1.380440E-5	-1.000220E-2	4.680160E-5	8.251300E+1	8.210500E+1	3.387500E+1
8.244100E+1	9.998140E-3	1.461510E-5	-1.000210E-2	4.725460E-5	8.243100E+1	8.210400E+1	3.487300E+1
8.235500E+1	9.998230E-3	2.648830E-5	-1.000210E-2	5.118850E-5	8.234600E+1	8.210200E+1	3.589400E+1
8.227700E+1	9.998100E-3	1.690390E-5	-1.000210E-2	5.114080E-5	8.226700E+1	8.210100E+1	3.688700E+1
8.219600E+1	9.998070E-3	1.449580E-5	-1.000210E-2	4.563330E-5	8.218500E+1	8.209900E+1	3.787500E+1
8.212000E+1	9.998060E-3	1.478200E-5	-1.000220E-2	5.066390E-5	8.211200E+1	8.209900E+1	3.887300E+1
8.204700E+1	9.997990E-3	1.587870E-5	-1.000210E-2	4.951950E-5	8.203700E+1	8.209500E+1	3.991400E+1
8.197500E+1	9.998090E-3	1.268390E-5	-1.000220E-2	4.785060E-5	8.196700E+1	8.209400E+1	4.087600E+1
8.190300E+1	9.998030E-3	1.535420E-5	-1.000220E-2	5.021100E-5	8.189300E+1	8.208700E+1	4.187600E+1
8.183600E+1	9.998060E-3	1.566410E-5	-1.000210E-2	4.696850E-5	8.182700E+1	8.208600E+1	4.287400E+1
8.177100E+1	9.998160E-3	1.533030E-5	-1.000220E-2	4.861360E-5	8.176400E+1	8.208400E+1	4.387500E+1
8.171100E+1	9.998220E-3	1.325610E-5	-1.000220E-2	4.777910E-5	8.170400E+1	8.208200E+1	4.489400E+1
8.165500E+1	9.998210E-3	1.533030E-5	-1.000220E-2	4.782680E-5	8.164800E+1	8.208600E+1	4.588700E+1
8.160000E+1	9.998100E-3	1.485350E-5	-1.000210E-2	4.804130E-5	8.159300E+1	8.208400E+1	4.687400E+1
8.154700E+1	9.998220E-3	1.616480E-5	-1.000220E-2	4.839900E-5	8.154100E+1	8.208100E+1	4.787500E+1
8.149800E+1	9.998180E-3	1.435280E-5	-1.000210E-2	4.975800E-5	8.149200E+1	8.208100E+1	4.887400E+1
8.144700E+1	9.998130E-3	1.561640E-5	-1.000210E-2	4.942420E-5	8.144100E+1	8.208300E+1	4.987400E+1
8.139700E+1	9.998250E-3	1.523490E-5	-1.000220E-2	4.932880E-5	8.139000E+1	8.208000E+1	5.087400E+1
8.135100E+1	9.998090E-3	1.661780E-5	-1.000210E-2	4.711150E-5	8.134600E+1	8.208000E+1	5.187500E+1
8.130300E+1	9.998260E-3	1.518730E-5	-1.000220E-2	4.951950E-5	8.129600E+1	8.207800E+1	5.287300E+1
8.125900E+1	9.998240E-3	1.668930E-5	-1.000210E-2	4.737380E-5	8.125400E+1	8.207500E+1	5.389500E+1
8.121200E+1	9.998260E-3	1.382830E-5	-1.000210E-2	4.754070E-5	8.120500E+1	8.207400E+1	5.491400E+1
8.116900E+1	9.998150E-3	1.642700E-5	-1.000210E-2	4.792210E-5	8.116100E+1	8.207600E+1	5.587500E+1
8.112200E+1	9.998110E-3	1.630780E-5	-1.000220E-2	4.916190E-5	8.111800E+1	8.207500E+1	5.687500E+1
8.107600E+1	9.998180E-3	1.423360E-5	-1.000220E-2	4.734990E-5	8.107200E+1	8.207500E+1	5.787500E+1
8.103500E+1	9.998130E-3	1.270770E-5	-1.000210E-2	4.751680E-5	8.103200E+1	8.207700E+1	5.887400E+1
8.099700E+1	9.998210E-3	1.497270E-5	-1.000210E-2	4.661080E-5	8.099200E+1	8.207600E+1	5.987400E+1
8.095500E+1	9.998240E-3	1.389980E-5	-1.000210E-2	4.704000E-5	8.094900E+1	8.207500E+1	6.087500E+1
8.091400E+1	9.998240E-3	1.490120E-5	-1.000210E-2	4.773140E-5	8.090800E+1	8.207500E+1	6.187500E+1
8.087400E+1	9.998080E-3	1.649860E-5	-1.000210E-2	4.701610E-5	8.087100E+1	8.207400E+1	6.289400E+1
8.083400E+1	9.998070E-3	1.537800E-5	-1.000210E-2	4.940030E-5	8.083000E+1	8.207300E+1	6.388700E+1
8.079800E+1	9.998140E-3	1.325610E-5	-1.000210E-2	4.849430E-5	8.079200E+1	8.207100E+1	6.487500E+1
8.076600E+1	9.998050E-3	1.392360E-5	-1.000210E-2	4.651550E-5	8.076100E+1	8.207100E+1	6.587500E+1
8.072900E+1	9.998070E-3	1.621250E-5	-1.000220E-2	4.827980E-5	8.072500E+1	8.207400E+1	6.687400E+1
8.069400E+1	9.998070E-3	1.320840E-5	-1.000220E-2	4.587170E-5	8.069100E+1	8.207100E+1	6.787500E+1
8.066100E+1	9.998120E-3	1.471040E-5	-1.000220E-2	4.465580E-5	8.065700E+1	8.207200E+1	6.887500E+1
8.063000E+1	9.998190E-3	1.461510E-5	-1.000210E-2	4.899500E-5	8.062400E+1	8.207100E+1	6.987300E+1
8.059900E+1	9.998160E-3	1.456740E-5	-1.000210E-2	4.949570E-5	8.059500E+1	8.207300E+1	7.091300E+1
8.057000E+1	9.998100E-3	1.678470E-5	-1.000200E-2	4.925730E-5	8.056600E+1	8.207400E+1	7.189400E+1
8.053900E+1	9.998060E-3	1.642700E-5	-1.000200E-2	5.061630E-5	8.053600E+1	8.207500E+1	7.288800E+1
8.051000E+1	9.998130E-3	1.342300E-5	-1.000200E-2	4.770760E-5	8.050700E+1	8.207600E+1	7.387400E+1
8.047900E+1	9.998080E-3	1.761910E-5	-1.000210E-2	4.816060E-5	8.047700E+1	8.207500E+1	7.487600E+1
8.045600E+1	9.998150E-3	1.666550E-5	-1.000210E-2	4.801750E-5	8.045300E+1	8.207400E+1	7.587500E+1
8.042800E+1	9.998100E-3	1.804830E-5	-1.000220E-2	4.904270E-5	8.042500E+1	8.207500E+1	7.687400E+1
8.040100E+1	9.998040E-3	1.785760E-5	-1.000220E-2	4.763600E-5	8.039700E+1	8.207600E+1	7.787400E+1
8.037800E+1	9.998130E-3	1.542570E-5	-1.000220E-2	4.844670E-5	8.037500E+1	8.207600E+1	7.887600E+1
8.035000E+1	9.997970E-3	1.950260E-5	-1.000220E-2	5.006790E-5	8.034800E+1	8.207900E+1	7.987400E+1
8.032900E+1	9.998000E-3	1.492500E-5	-1.000220E-2	5.021100E-5	8.032600E+1	8.207800E+1	8.089400E+1
8.030700E+1	9.997970E-3	1.933570E-5	-1.000230E-2	5.223750E-5	8.030400E+1	8.207900E+1	8.188700E+1
8.028300E+1	9.997910E-3	1.716610E-5	-1.000230E-2	5.161760E-5	8.028100E+1	8.207900E+1	8.287400E+1
